TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,URL
Sindhi Kuneh Ja Bhee Recipe Lotus Stem Chaat,200 grams Lotus Stem1 teaspoon Red Chilli powder12 teaspoon Cumin powder Jeera12 teaspoon Chaat Masala Powder1 teaspoon Black pepper powder14 teaspoon Amchur Dry Mango PowderSalt to taste3 tablespoon Onions finely choppedCoriander Dhania Leaves a few1 tablespoon Green Chutney Coriander Mint12 teaspoon Sweet Chutney Date Tamarind,10,55,65,2,Sindhi,Snack,Vegetarian,To begin making Sindhi Kuneh Ja Bhee Recipe Lotus Stem Chaat Wash lotus stem and peel the outside skin Chop into 1 to 112 inch piecesAdd salt to taste place the lotus stem in aluminum foil and cover it tight Place this in a bowl and cover it with tight lid Pressure cook for 45 minutes or till the stem is cooked completelyOnce cooked remove from pressure cooker Add all the seasoningexcept for chaat masala and amchur powder and toss it wellPlace the seasoned lotus stem in a hot pan and just saute without oil on low flame for 5 minutesRemove the stem into serving plate Sprinkle finely chopped onions fresh coriander leaves and some chaat masala and amchur masalaDrizzle some green chutney and sweet tamarind chutney Serve immediatelyServe Sindhi Kuneh Ja Bhee Recipe Lotus Stem Chaat during evening with Sprouted Moong Chaat Recipe and Ginger Cardamom Chai Spice Infused Indian Style Milk Tea,https://www.archanaskitchen.com/sindhi-kuneh-ja-bhee-recipe-lotus-stem-chaat
Swedish Saffron Buns Recipe,4 cups All Purpose Flour Maida212 teaspoons Active dry yeast1 cup Milk adjust4 tablespoon Butter1 Whole Eggs whisked12 teaspoon Saffron strands24 Raisins black variety1 pinch Salt14 cup Caster Sugar1 Egg white for glazing,30,20,50,10,European,Snack,Vegetarian,To begin making the Swedish Saffron Buns Recipe first warm 34 th cup milk and butter in a saucepanMix till the butter melts Once done add a tablespoon of sugar and saffron to the milk and butter Stir to dissolve the sugar and take it off the heat Cool till it becomes lukewarmOnce the temperature of the milk is lukewarm add yeast to this mixture and leave it aside for 5 minutes Into the bowl of a stand mixer add flour salt and remaining sugar and whisk Gradually add the liquid mixture to the flour and knead Add the remaining milk to form a soft dough You can a little more milk if required to get a soft supple doughKnead for about 10 minutes or till the dough is smoothGather the mixed dough together and form a ball and place it in a greased containercovered with a wet kitchen towelKeep it in a warm place till it doubles in size for about 15 2 hoursKnock back the dough and divide into 1112 portionsLine or grease two baking trays Roll each portion into 78 inch long ropeShape it into a S and place on the baking trays leaving some space between each bun Press to seal the ends Place a raisin at the centre of each curled end and press lightlyCover loosely with a wet kitchen towel and keep it for another 30 minutes or till the rolls double in sizeMeanwhile preheat the oven to 180 degree celciusWhisk the egg white with a little water for brushing the Swedish Saffron BunsOnce the dough has doubled lightly brush the rolls with the egg whiteBake for about 1520 minutes or till golden Once done remove the Swedish Saffron Buns from the oven and cool on a wire rack for five minutes Serve Swedish Saffron Buns warm Serve Swedish Saffron Buns with Apple Tea Latte Recipe or Maple Roasted Cinnamon Spiced Latte Recipe to warm you up on a cold evening,https://www.archanaskitchen.com/swedish-saffron-buns-recipe
Padipe Saasmi Recipe Udupi Style Amaranth Leaves Curry With Coconut Tamarind,12 sprig Red Amaranth Leaves You can use spinach also1 cup Fresh coconut grated4 Dry Red Chillies2 Green Chillies1 teaspoon Mustard seeds1 teaspoon Cumin seeds Jeera1 Tamarind marble sizedSalt to taste112 teaspoon Sunflower Oil1 teaspoon Sunflower Oil1 teaspoon Mustard seeds2 Dry Red Chillies1 teaspoon White Urad Dal Split1 sprig Curry leaves,15,20,35,4,Udupi,Side Dish,Vegetarian,To begin making the Padipe Saasmi Recipe pluck the amaranth leaves include some of the tender stem as well Wash the leaves and stem well in water Drain the leaves from water Chop them finely Soak tamarind in 12 cup water for about 30 minutesGrind together coconut dry red chilies green chillies mustard seeds and cumin seeds into a thick and smooth pasteHeat oil in a heavy bottomed pan Add the ground paste and cook until the raw smell is goneAdd chopped spinachamaranth leaves and saute for about 5 to 7 minutes Add salt to taste and tamarind extract or juice to the curryHeat oil in a tadka pan Add mustard seeds and allow it to splutter Add dry red chilies urad dal and curry leaves Once urad dal begin to turn golden brown remove the pan from heat and pour it into the spinach curry Turn off flame and serve hotServe Padipe Saasmi along with Mixed Vegetable Sambar and Steamed Rice for a weekday meal,http://www.archanaskitchen.com/padipe-saasmi-recipe-udupi-style-amaranth-leaves-curry-with-coconut-tamarind
ChakHao Amubi Recipe Black Rice Pudding,34 cup Black Rice soaked for 34 hours2 liter Milk full cream milk12 cup Sugar1 teaspoon Cardamom Powder Elaichi810 Cashew nuts fried10 Raisins optional,180,40,220,6,North East India Recipes,Dessert,Vegetarian,To prepare ChakHao Amubi Recipe Black Rice Pudding wash and soak rice in fresh water for 34 hours before cookingIn a thick bottomed pan heat milk and boil till it starts reducing and look light cream in colorAdd soaked black rice and cook in medium to low flames till rice is 90 cooked Keep stirring in regular intervals and also scrap the cream from sides and add into the kheer this will make it creamierThe kheer will start turning purple in color because of the ChakHaoblack riceOnce the milk is thick and creamy and the rice is almost done add sugar and cardamom powder and stir wellAfter adding sugar the milk will slightly look diluted but it will thicken again in few minutesCook till the kheer is creamy in texture and turn off the gasIn a small pan heat ghee and fry cashews till browned slightlyAdd the fried cashews to ChakHao Amubi Recipe Black Rice Pudding and give a quick mixServe ChakHao Amubi Recipe Black Rice Pudding hot or chilled as an occasional dessert after a nice weekend meal,http://www.archanaskitchen.com/chak-hao-amubi-recipe-black-rice-pudding
Mushroom Goat Cheese Omelette with Spinach Recipe,2 Whole Eggs14 cup Milk100 grams Button mushrooms quatered1 teaspoon Dried oregano1 teaspoon Black pepper powderSalt to taste4 Spinach Leaves Palak torn50 grams Goat Cheese1 tablespoon ButterSunflower Oil,10,20,30,1,Continental,World Breakfast,Eggetarian,To begin making the Mushroom Goat Cheese Omeltte with Spinach Recipe break the eggs into a bowl add milk and sprinkle some salt and whisk till it combines wellHeat a flat skillet with oil add mushroom and saute until all the water has been evaporated Sprinkle with little saltOnce the mushroom is cooked add dried oregano and pepper powder and mix well Toss well and transfer it to a bowlHeat a flat nonstick skillet to make the omelette add a tablespoon of butter Keep the heat to medium and slowly add the whisked eggsAllow the egg to cook for 5 minutes Add sauted mushroom torn spinach leaves and crumbled goat cheese to one side and fold the omelette and serve warmServe the Mushroom Goat Cheese Omelette with Spinach Recipe along with Zucchini Pancake Recipe With Tomato Salsa and Quick Strawberry Yogurt Smoothie Recipe,http://www.archanaskitchen.com/mushroom-goat-cheese-omeltte-with-spinach-recipe
Thengai Sadam Recipe A Quick and Healthy Coconut Rice,1 cup Fresh coconut grated212 cups Cooked rice1 teaspoon Mustard seeds2 teaspoons White Urad Dal Split2 teaspoons Chana dal Bengal Gram Dal1 Raw Peanuts Moongphali fistful1 sprig Curry leaves3 or 4 Green Chillies finely chopped1 teaspoon Ginger grated1 1 tablespoon Coconut OilSalt to taste,30,30,60,4,South Indian Recipes,Lunch,Vegetarian,To begin cooking the Thengai Sadam Coconut Rice Recipe heat a tablespoon of coconut oil in a heavy bottomed pan or wok Add the mustard seeds to the oil and once it begins to crackle add in the urad dal channa dal and the peanutsOnce the dals begins to brown add the green chillies curry leaves and ginger and stir them together for a few minutesNext add in the coconut to the kadai and mix them all together Care should be taken to avoid any moisture remaining in the mixture therefore keep stirring it properly until all the moisture in the coconut evaporates At this stage stir in the cooked rice and salt and combine all the ingredients well Add a tablespoon of coconut oil to it to separate the grains of the rice Finally add a tablespoon of coconut oil to the Thengai Sadam to separate the grains of the rice Stir fry gently to combine all the ingredient taking care and ensuring that the rice does not get mashed in the process Once combined turn the heat to low and simmer for a couple of minutes Turn off the heat and serve the Thengai Sadam Coconut Rice hot with a potato roast and papad,https://www.archanaskitchen.com/south-indian-thengai-sadam-recipe-a-quick-and-healthy-coconut-rice
Dried Chole Recipe Sukhe Chole Recipe,1 1 14 2 2 14 2 14 1,10,30,40,2,Punjabi,Lunch,High Protein Vegetarian,3 30 40 1 2,https://www.archanaskitchen.com/sukhe-chole-recipe-dry-masala-chickpeas-in-hindi
Aam Ki Launji Recipe,500 14 12 1 12 14 1 1 12 12,10,25,35,10,North Indian Recipes,Side Dish,Vegetarian,To make Mango Launji recipe first wash and clean the mango Now cut them into wedges and keep them separately Now heat oil in a pan Add cumin seeds fenugreek seeds fennel seeds and let it crackle Now add asafoetida turmeric powder mangoes and mix well After 1 minute add 34 cup water salt black salt red miraa powder and mix well Cover the pan and let the mango cook for 10 minutes Open the pan after 10 minutes add good garam masala and mix well Cook until thick and turn off the gas Allow to cool and pour in a glass bottle and store Serve the Mango Launji recipe with potato onion vegetable and celery poori for dinner,http://www.archanaskitchen.com/aam-ki-launji-pickle-recipe-sweet-spicy-mango-pickle-in-hindi
Broccoli Soup Recipe For BabiesToddlers above 7 months,1 cup Broccoli 10 florets approximatelySalt a pinchBlack pepper powder a pinch12 teaspoon Butter unsalted3 Badam Almond soaked in hot water,15,10,25,2,Continental,Lunch,High Protein Vegetarian,To begin making the Broccoli Soup we begin by washing the broccoli florets thoroughly Once the Broccoli is washed add this to a pressure cooker with 14 cup of water and a pinch of salt Close the lid and pressure cook for 1 whistle Release the pressure immediately as broccoli cooks very fast and if it cooks any further the broccoli florets will lose the nutrition that it has to offer to your babySoak the almonds in hot water for 15 minutes and remove the skinTransfer the broccoli florets along with the water into a bowl and allow it to cool Add the cooled Broccoli florets along with the water that it was cooked in and the almonds into a mixer and blend until it forms a smooth texture Place a pan on low heat and add half a teaspoon of butter to the pan Once the butter melts add the blended broccoli to the pan and sprinkle a pinch of pepperStir well until all the ingredients are well combined Let the broccoli soup for the baby stay on low heat for 23 minutes turn off the heat Serve this Broccoli soup to you baby or toddler who is over 7 months for lunch or dinner For a child above 1 year serve this soup with a small piece of whole wheat bread toast,https://www.archanaskitchen.com/broccoli-soup-recipe-for-babies-toddlers-above-7-months
Kesar Chai Recipe A Delicious Saffron Flavored Indian Tea,2 cups Water1 teaspoon Tea leaves14 cup Milk10 Saffron strands or more,0,10,10,2,North Indian Recipes,North Indian Breakfast,Vegetarian,To begin making the Kesar Chai add water into a saucepan along with the saffron strands and allow it to come to a brisk boilOnce it begins to boil add the tea leaves Allow the tea leaves to simmer in the water for about a minute and turn off the heatOnce you add the tea leaves allow it to brew just a little to ensure the tea stays light and does not turn bitterStir in the milk into the chai and allow it to rest for a few seconds Strain the Kesar chai into the cups and serve Add a few more saffron strands to the top while serving this will give a great look and also add to the taste and flavor of the chaiServe the Kesar chai Recipe along with Samosa or Vegetable Bajji or Pakora for an evening snack,http://www.archanaskitchen.com/kesar-chai-recipe-a-delicious-saffron-flavored-indian-tea
Crispy Bakwan Sayur Recipe No Onion No Garlic Vegetable Fritter,1 cup Cabbage Patta Gobi Muttaikose shredded12 cup Carrot Gajjar shredded3 tablespoon All Purpose Flour Maida1 tablespoon Rice flour1 teaspoon Turmeric powder Haldi14 teaspoon Red Chilli powder1 teaspoon Salt1 teaspoon Sugar1 teaspoon Black pepper powder250 ml WaterSunflower Oil for deep frying,15,10,25,2,Indonesian,Snack,Vegetarian,To prepare Crispy Bakwan Sayur Recipe No Onion No Garlic Vegetable Fritter in a mixing bowl combine all purpose flour rice flour turmeric powder red chilli powder salt sugar and ground pepperAdd water and mix well make sure there are no lumpsAdd shredded cabbage and shredded carrot in the batter and mix wellPour enough oil in a pot for deep frying Once a bit of batter dropped into the oil bubbles immediately the oil is readyUse a small ladle and drop a ladleful of vegetables mixture into the hot oilDeep fry until the fritter is crispy and turns golden brown on both sides remove and drain on a wire rackpaper towelRepeat until all batter is used upServe Crispy Bakwan Sayur Recipe No Onion No Garlic Vegetable Fritter immediately with some Thai red chilies or a combination of roasted tomato sauce and chili sauce during evening,https://www.archanaskitchen.com/crispy-bakwan-sayur-recipe-no-onion-no-garlic-vegetable-fritter
Begun Basanti Recipe Eggplant In Mustard Yogurt Curry,1 Brinjal Baingan Eggplant cut into long wedges2 teaspoon Poppy seeds2 teaspoon Yellow mustard seeds14 cup Curd Dahi Yogurt1 Green Chilli slit1 inch Ginger chopped12 teaspoon Turmeric powder Haldi1 teaspoon Cumin powder Jeera1 teaspoon Red Chilli powder1 pinch SugarSalt to tasteMustard oil for cooking,10,30,40,4,Bengali Recipes,Side Dish,Vegetarian,To begin making the Begun Basanti Recipe firstly chop the eggplant and marinate them with a teaspoon of turmeric powder and keep it asideGrind the poppy seeds and mustard seeds in a grinder to a smooth powder and keep it asideHeat a kadai with mustard oil Add eggplant and roast them well till they soften You can sprinkle little water and salt and cover it and cook This will help in cooking fasterTake the brinjal out add little more oil and add chopped ginger Saute until it softens Add green chilli and sauted brinjalAdd poppy seed mustard seed powder and mix well Add the remaining turmeric powder red chili powder and cumin powder Cook until the spices have well combinedAdd curd and sprinkle and mix well Cook until the gravy thickens a bit and serve hotServe the Begun Basanti Recipe along with Cholar Dal and Bengali Luchi to create a nice bengali meal for your lunch,http://www.archanaskitchen.com/begun-basanti-recipe-eggplant-in-mustard-yogurt-curry
Dahi Wale Aloo Recipe Indian Yogurtbased Potato Curry,4 Potatoes Aloo chopped112 cups Curd Dahi Yogurt2 tablespoons Gram flour besan13 teaspoon Asafoetida hing1 teaspoon Cumin seeds Jeera1 sprig Curry leaves1 Onion finely chopped12 teaspoon Ginger finely chopped12 teaspoon Garlic finely chopped2 Green Chillies chopped1 teaspoon Red Chilli powder112 teaspoon Coriander Powder Dhania12 Turmeric powder HaldiSalt to taste4 tablespoons Sunflower OilCoriander Dhania Leaves chopped or garnish,10,45,55,4,North Indian Recipes,Lunch,Vegetarian,To begin making Dahi Wale Aloo Recipe first wash the potatoes thoroughly Then pressure cook them till they are cooked soft but not completely mushy You can follow this method to learn how to pressure cook themOnce the pressure has released from the cooker open the line drain the water and allow the potatoes to cool Then peel them and roughly break into chunksIn a large bowl add curd and besan with a little water and whisk them together to make a smooth batter There should not be any lumps in the curds Whisk till it is smooth and then set asideIn a wok or kadhai warm some oil Add cumin seeds and hing As soon as cumin begins to crackle add finely chopped onion and saute till the onions softenNext add the finely chopped ginger garlic and green chilies along with the curry leaves and toss them all together for a couple of minutesAdd the red chilli powder coriander powder and turmeric and saute the masala well until it is cooked through and begins to release oil from the sides If you find the masala sticking at this stage add a little water 2 tablespoons in it and toss wellAdd the potatoes to the masala and mix again till the potatoes are wellcoatedTurn the heat to low and start pouring the beaten curd over the potatoes Mix well Adjust salt as per your taste and close the lid to allow the curry to simmer for 5 minutesOnce done turn the heat off garnish with coriander leaves and serve with Steamed Rice or Phulkas,http://www.archanaskitchen.com/dahi-wale-aloo-recipe-indian-yogurt-based-potato-curry
Chana Dal Chutney Recipe,14 cup Roasted Gram Dal Pottukadalai14 cup Fresh coconut grated67 Dry Red Chillies23 sprig Curry leavespinch Asafoetida hing1 teaspoon Mustard seeds2 teaspoon Tamarind Paste1 tablespoon Sunflower OilSalt to taste,15,10,25,5,South Indian Recipes,Side Dish,Vegetarian,To begin making the Chana Dal Chutney first place a pan on the heat and warm up some oil Add the roasted chana dal with a few curry leaves and red chillies Saute for a couple of minutes on a medium flameThen add grated coconut and stir for 1 minute till the coconut is lightly toasted Take the pan off the heatTransfer the contents from the pan into the mixer jar and using just enough water grind it to a smooth pasteTake care not to make it too runny adding only as little water as required to make grinding easyNext add salt and tamarind paste and pulse again until combined Transfer the channa dal into a serving bowlPlace a tadka pan on the heat warm some oil in it and add in the mustard seeds curry leaves and asafetida Allow it all to crackle and crisp upThen pour it over the chutney and stir well Serve this Chana Dal Chutney with AvalPoha Dosa Tomato Uttapam or Carrot Onion Uttapam,http://www.archanaskitchen.com/chana-dal-chutney-recipe
Andhra Style Pulses Recipes,12 cup Rice flour3 tablespoons Jaggery1 cup Water12 cup Yellow Moong Dal Split cooked1 cup Milk34 cup Jaggery1 teaspoon Cardamom Powder Elaichi12 cup Coconut milk1 tablespoon Ghee12 Cashew nuts,15,20,35,4,Andhra,Dessert,Vegetarian,To begin making Pappulo Undrallu Recipe wash and boil the moong dal in 1 cup of water using a pressure cooker for 2 whistles Once it is cool mash and keep asideNext we need to prepare the rice flour dumplingsHeat 1 cup of water in a saucepan along with jaggery in medium heat bring it to a boilSlowly mix in the rice flour into the jaggery water and whisk well till it forms a uniform lumpSwitch off the flame let it cool for a whileKnead the dough well and roll it into mini balls and keep asideHeat 12 cup of water along with 34 cup jaggery in medium heat and let it dissolve wellAdd the boiled mashed moong dal into the jaggery syrup enough water and mix well till you attain a smooth mixture Simmer for 3 minutesAdd the rice dumplings into the mixture and simmer for 5 to 7 minutes till the mini rice balls are cooked wellAdd the milk cardamom powder and mix well Simmer for another 5 minutesSwitch off the flame and mix in the coconut milk into the mixture This is to avoid the curdling of the coconut milkHeat ghee in a small tadka pan add in the cashew nuts and fry until they turn golden brownAdd it to the Pappulo Undrallu that you made and stir wellServe the Pappulo Undrallu Recipe along with Spicy Sweet Corn Oat Fritters Recipe as a part of festive lunch or Andhra meals,https://www.archanaskitchen.com/andhra-style-pappulo-undrallu-recipe-rice-dumplings-in-sweetened-lentil-broth
Tomato Jam Recipe,1 kg Tomato ripe34 kg SugarSalt a pinch2 tablespoons Lemon juice2 Cinnamon Stick Dalchini crush into coarse powder6 Cloves Laung crush into coarse powder,5,45,50,10,Indian,World Breakfast,Vegetarian,To begin making the Tomato Jam recipe wash tomatoes and make a slit in cross X in endwaysBoil water nicely Switch off and drop tomatoes inside hot water Let it remain in it for about 5 to 10 minutes This will help to peel skin off from tomatoes easilyTake them out from water allow to cool Peel off skin and discard them Squeeze out some of the juice and seeds from it You can use it for something elseChop tomato into very fine pieces or blend in a processor for few secondsTake a heavy bottom large pankadai Pour tomatoes into it Boil for about 15 minutes on medium high flame to reduce liquidAdd sugar cinnamon and cloves powder Mix well and let the gas be on medium flame Bring mixture to full boil stirring frequently in betweenAs it thickens stir constantly and reduce the flame Make sure not to overcook Jam will thicken as it coolsWhen the jam has reached a thick sauce consistency add lemon juice Mix well turn off flame Cool for about 10 minutes and pour into clean sterilised glass bottlesWhen the jam has reached a thick sauce consistency add lemon juiceMix well turn off flameCool for about 10 mins and pour into clean sterilised glass bottlesOnce it cools completely close the lid and refrigeratestore in a cool dry place Use when required for bread buns chapathi etcServe Tomato Jam during breakfast on toast and along with a cup of Masala Chai,http://www.archanaskitchen.com/tomato-jam-recipe
Amaranth Leaves Khichdi Recipe,1 cup Yellow Moong Dal Split34 cup Rice100 grams Green Amaranth Leaves finely chopped1 teaspoon Turmeric powder Haldi2 Green Chillies slitSalt to taste1 tablespoon Ghee1 inch Cinnamon Stick Dalchini1 teaspoon Cumin seeds Jeera,10,30,40,3,Indian,Lunch,Vegetarian,To begin making the Amaranth Leaves Khichdi Recipe first prep all the ingredients and keep asideWash the rice and dal and keep asideInto a Pressure Cooker add the rice dal amaranth leaves turmeric powder salt and green chilies Add 5 cups of water to get a good mish mash khichdi Cover the cooker place the weight on and cook for 2 whistles After two whistles turn the heat low and simmer for 3 to 4 minutes and turn off the heat Allow the pressure to release naturally Once the pressure is released open the cooker and give the Khichdi a stir Check the salt and adjust accordingly Transfer the amaranth khichdi to the serving bowlFor the tadka in a tadka pan heat a tablespoon of ghee Add the mustard seeds cinnamon stick and allow it to crackle Pour it over the Amaranth Khichdi and serveServe Amaranth Leaves Khichdi Recipe with Gujarati Kadhi or Tomato Onion Cucumber Raita Recipe for a light and healthy meal,https://www.archanaskitchen.com/amaranth-leaves-khichdi-recipe
Orange Mocktail Recipe,1 cup Fresh orange juice1 tablespoon Lemon juice1 cup Sprite or 7 up or club soda or ginger aleSugar as required optionalMint Leaves Pudina fewIce cubes as requiredSalt to taste,10,10,20,2,Continental,Snack,Vegetarian,To begin making Orange Mocktail firstly mix the orange juice with limelemon juice in a mixing bowlTake two glasses and put some ice cubes in it Pour the juice mixture in the glass till it is half full Pour some sprite or 7up in the same glass and a pinch of saltCrush some mint leaves from hand and add in the juice Add some more ice cubes if neededServe Orange Mocktail along with Cheese Stuffed Aloo Bonda and Sabudana Vada for your house parties,http://www.archanaskitchen.com/orange-mocktail-recipe
Oats Ven Pongal Recipe,1 tablespoon Ghee1 cup Instant Oats Oatmeal12 cup Yellow Moong Dal SplitSalt to taste2 tablespoons Ghee2 tablespoons Cashew nuts quartered1 inch Ginger18 teaspoon Asafoetida hing1 teaspoon Whole Black Peppercorns coarsely pounded1 sprig Curry leaves,10,30,40,4,South Indian Recipes,South Indian Breakfast,Vegetarian,To begin making the Oats Ven Pongal Recipe we will first cook the Yellow Split Moong Dal I will be using a pressure cooker to cook the Moong Dal You can also use the saucepan methodRinse the Moong Dal under water and place it in the pressure cooker Add 34 cup of water and cook the Moong Dal cover the pan place the weight on and until you hear one whistle After the first whistle turn the heat to low and simmer for 3 to 4 minutes After 3 to 4 minutes turn off the heat and allow the pressure to release naturally Keep this asideIn our next step we will roast and cook the oats Heat a tablespoon of ghee in a heavy bottomed pan on medium heat Add the oats and saute on medium heat until the oats gets lightly toasted Add in 34 cup of water and cook the oats This will take about 3 to 4 minutes Keep stirring continuously until the oats is cooked Once the oats are cooked stir in the cooked Moong dal and add some salt to taste Cover the pan and keep the heat on low while we proceed to prepare the seasoningTo make the seasoning for the Oats Ven Pongal heat 2 tablespoons of ghee on medium heat Add the cashew nuts and allow it to roast until golden brown As you notice the cashew nuts changing color add the ginger pepper curry leaves and asafoetida and give the mixture a stir for a few seconds Turn off the heatIn the final step add the seasoning mixture to the Oat Ven Pongal and stir well to combineServe the Oats Ven Pongal along with Coconut Chutney and Oats Sakkarai Pongal for the Festival of Pongal for breakfast or even for dinner,http://www.archanaskitchen.com/oats-ven-pongal-recipe
Doddapatre Soppina Chitranna Recipe Spiced Indian Thyme Rice,112 cups Cooked rice2 tablespoons Sunflower Oil10 Indian borage Doddapatre cleaned washed and separated34 teaspoon Cumin seeds Jeera1 teaspoon Chana dal Bengal Gram Dal1 teaspoon White Urad Dal Split12 cup Dessicated Coconut chopped3 Byadagi Dried Chillies3 Guntur Dried ChilliesCoriander Dhania Leaves a few sprigs finely chopped for garnish1 teaspoon Mustard seeds12 teaspoon Chana dal Bengal Gram Dal12 teaspoon White Urad Dal Split14 teaspoon Asafoetida hing1 tablespoon Raw Peanuts Moongphali1 sprig Curry leavesSalt to taste,20,30,50,4,South Indian Recipes,Lunch,Vegetarian,To start preparing Doddapatre Soppina Chitranna Indian Thyme Rice Recipe get all the ingredients handy firstHeat a teaspoon of oil in wide bottomed kadai and add urad dal channa dal cumin and roast them on medium flame until the dals turn golden Transfer the seasoning to a mixie food processorAdd red chillies to the kadai and roast them on low flame until the pungent odour is slightly reduced takes about 12 minutes Add desiccated coconut and fry for a minute until the pleasant aroma rises Cool this and add to the mixie along with other ingredientsFry doddapatre leaves in kadai for a minute or two till the leaves wilt Transfer the leaves to the mixieNow grind all the ingredients into a smooth paste using little waterHeat oil in wide bottomed pan and add mustard once it starts spluttering add the channa and urad dal groundnuts curry leaves and hing Fry till the dals turns golden and the groundnuts are done the skin starts to peelNow add the ground paste and fry for a minute Mix in the cooked rice sprinkle some salt and mix until everything is well incorporated Doddapatre Soppina Chitranna Indian Thyme Rice Recipe is now ready with some chopped coriander leaves to garnish,https://www.archanaskitchen.com/doddapatre-soppina-chirtanna-indian-thyme-rice-recipe
Jeera Hing Aloo Recipe In Hindi,500 112 12 1 12 12 1 12,10,30,40,4,Indian,Lunch,Vegetarian,To make cumin asafoetida potatoes first wash and peel the potatoes Now add water to a saucepan and cook it Boil it well and let the potatoes harden Heat oil in a pan Add cumin and asafoetida to it After 10 seconds add grated ginger and mix it Now add all the spices and potatoes in it Mix well and cook until the potatoes are cooked Add mango powder and green coriander and mix Serve hot Serve cumin asafoetida and potatoes along with garlic lentils and phulka for dinner,https://www.archanaskitchen.com/jeera-hing-aloo-recipe-in-hindi
Guilt Free Coconut Barfi Recipe,12 cup Badam Almond powdered15 Dates seedless34 cup Dessicated Coconut little extra for garnishing3 tablespoons Milk1 tablespoon Ghee clarified butter a little extra for greasing the plate1 teaspoon Cardamom Powder Elaichi,10,30,40,3,North Indian Recipes,Dessert,Vegetarian,To prepare Guilt Free Coconut Barfi get ready with all the ingredients and grease your plate or pan where you will be removing your barfi dough to cut into shapesMake almond powder I prepared the powder at home in a mixer grinder you can also use store bought oneUsing 3 tablespoons milk make a thick puree of Dates by wet grinding it in the mixerHeat a tablespoon ghee in a saucepan kept on medium high and once the ghee melts add dates puree Saut it for about 5 minutesAdd almonds powder and mix well It should form a nice and dry doughAdd Coconut and mix well for about 2 minutes and switch off the flameAdd cardamom powder and mixPour this barfi mixture on the greased plate or pan that you had preparedPress and spread the recipe well with a spoonSprinkle some dry desiccated coconut on top for garnishing and press with your palmGive the cuts using knife You can give square or diamond shaped cutsLet them cool completely and only then remove the pieces of guilt free coconut barfi out and serve along a nice Indian menu to make your weekday meal memorable,https://www.archanaskitchen.com/guilt-free-coconut-barfi-recipe
Saunf Aloo Fennel Potato Curry Recipe,5 Potatoes Aloo halved with skin2 teaspoon Fennel seeds Saunf crushed2 teaspoon Red Chilli powder1 teaspoon Turmeric powder Haldi14 cup Fresh cream or 12 cup milk4 sprig Coriander Dhania Leaves finely chopped,10,15,25,6,Punjabi,Lunch,Vegetarian,To begin with Saunf Aloo heat oil in a pressure cooker Add turmeric powder salt red chilli powder and crushed fennel seeds till the fennel seeds turns golden in colourNow add the potatoes and mix it properly with the masala Sauce it for 23 minutes and then add enough water to cover the potatoes in the cookerSwitch the heat after two whistles and once the pressure is released open the lid of the pressure cookerThe next step is to add the cream or milk and mash a few potatoes to get a thicker consistency Let it cook for 5 more minutes or until the cooker releases 2 more whistlesGarnish the Saunf Aloo with some roasted saunf and chopped coriander Serve Sauf Aloo along with Amritsari Dal and Whole Wheat lachha Paratha for a weekday meal,https://www.archanaskitchen.com/saunf-aloo-fennel-potato-curry-recipe
Madurai Spicy Tomato Chutney Recipe,2 onions 5 dry red chillies 2 tomatoes 2 sprig curry leaves 1 tsp rye 2 tsp urad dal salt as per taste 14 cup water 3 tsp sesame oil 2 tsp tamarind Paste 12 tsp sugar,10,10,20,4,Tamil Nadu,Side Dish,Vegetarian,To make Madurai Tomato Chutney Recipe first cut the onion tomatoes and keep them separately Now heat oil in a pan Add dry red chillies onions tomatoes and cook for 5 minutes Turn off the gas and allow it to cool Pour this mixture into the mixer grinder with 2 tablespoons of water and grind it Now heat sesame oil in a pan Add mustard seeds and let it splutter Now add urad dal curry leaves and cook the urad dal till it becomes golden brown Now add onions and cook till they become soft Now add the remaining tomatoes and cook till they become soft Now add ground tomato onion chili mixture some water and let it boil Turn off the gas after boiling and serve Serve Madurai Tomato Chutney Recipe with Rava Idli Keerai Sambar and Filter Coffee for breakfast,https://www.archanaskitchen.com/madurai-spicy-tomato-chutney-recipe-thakkali-vengayam-chutney-in-hindi
